categorie|marque|nom|nutritionGradeFr|ingredients|energie100g|graisse100g|sucres100g|fibres100g|proteines100g|sel100g|vitA100g|vitD100g|vitE100g|vitK100g|vitC100g|vitB1100g|vitB2100g|vitPP100g|vitB6100g|vitB9100g|vitB12100g|calcium100g|magnesium100g|iron100g|fer100g|betaCarotene100g|presenceHuilePalme|allergenes|additifs|
Conserves|Carrefour Bio,Carrefour|Haricots blancs cuisinés|a|Haricots blancs trempés blanchis*, eau, carottes', oignons*, sel de Noirmoutier, ail*, thym*, laurier*. *Ingrédients issus de l'agriculture biologique.|293|0.8|0.7|4.6|5|0.69|||||||||||||||||0|||
Conserves|Carrefour Discount|Champignons de paris|b|Champignons de Paris, eau, sel, acidifiant : acide citrique, antioxygène : acide ascorbique.|79|0|0.5|2.1|2.2|0.7|||||||||||||||||0||E300 - Acide ascorbique,E330 - Acide citrique|
Conserves|Carrefour bio, Carrefour|Petits pois|a|Petits pois*, eau, sel de mer. *Issus de l'agriculture biologique.|340|0.9|2|5.4|5.5|0.6|||||||||||||||||0|||
Conserves|Carrefour,Carrefour Bio|Pousses de Haricots MungoBio|a|Pousses de haricots mungobio, eau, sucre bio, vinaigre d'alcool bio, sel, concentré de citron bio, antioxydant : acide ascorbique.|98|0.2|2|1.7|1.9|0.2794|||||||||||||||||0||E300 - Acide ascorbique|
Conserves|Casino|Oeufs de lompe noirs|c|_Oeufs de lompe_ 82 %, eau, sel, épaississant : gomme xanthane, conservateur : benzoate de sodium, acidifiant : acide citrique, colorants : E151 et E150d.|290|3.1|0||8.7|5.3086|||||||||||||||||0|Oeufs de lompe|E150d - Caramel au sulfite d'ammonium,E151 - Noir brillant BN,E211 - Benzoate de sodium,E330 - Acide citrique,E415 - Gomme xanthane|
Conserves|Casino|Pousses de haricot mungo 370ml|b|Pousses de haricot mungo - eau - vinaigre d'alcool - sucre - sel - jus de citron - affermissant : chlorure de calcium - antioxydant : acide ascorbique|99|0|2|1.7|1.3|0.51|||||||||||||||||0||E300 - Acide ascorbique,E509 - Chlorure de calcium|
Conserves|Casino|Champignons de Paris Pieds et Morceaux|a|Champignons de Paris - eau - sel - correcteur d'acidité: acide citrique|69|0|0|2.5|2.2|0.63|||||||||||||||||0||E330 - Acide citrique|
Conserves|Casino|Choucroute royale au vin blanc|c|Choucroute 46% - viande de porc traitée en salaison et précuite 13.5%- eau - saucisses  fumées 6.5%- saucisses pur porc fumées 6.5%  [viande de porc - eau - plasma de porc - sel - arôme_ - stabilisant : E451 - sirop de glucose déshydraté - conservateur E250 ] - saucisson fumé pur porc 5.5%- saindoux - vin blanc  IGP de la province de Paviecépage Riesling 1% - sel - antioxydant: E300 - arôme naturel de poivre - baies de genièvres - graines de cumin - grains de poivre. Porc origine : UE|408|7.5|0|1.8|5.7|1.2|||||||||||||||||0|blé, lait|E250 - Nitrite de sodium,E300 - Acide ascorbique,E407 - Carraghénanes,E407a - Algues euchema transformées,E412 - Gomme de guar,E415 - Gomme xanthane,E451 - Triphosphates|
Conserves|Casino|Salade Italienne au thon|b|_Thon_ 20%- tomates 16% - oignons 15% - poivrons rouges 13% - haricots verts 9.9% - eau - huile de colza - pâtes alimentaires 6.4%- vinaigre d'alcool - sel - amidon de riz - aromates et épices - épaississants : farine de graines de caroube, gomme guar - colorant : extrait de paprika - arôme naturel de thym - arôme naturel ail - arôme naturel. Traces de _moutarde_.|550|7.5|1.8|1.3|8|1.2|||||||||||||||||0|Thon, blé, œuf|E160c - Extrait de paprika,E410 - Farine de graines de caroube,E412 - Gomme de guar|
Conserves|Casino|Garniture pour Bouchées à la Reine|c|Eau - quenelles de volaille 22%- cubes de viande de dinde cuits 10%- _crème_ fraîche- amidon de riz - amidon transformé de maïs - huile de tournesol - farine de _blé_ - arôme- _œufs_ concentrés salés - sel.|560|8.2|0.8|0.8|4.8|1.3|||||||||||||||||0|blé, œufs, blé, lactose, lait, blé, crème, blé, lait, gluten, œufs, œufs|E14XX - Amidons modifiés,E300 - Acide ascorbique,E330 - Acide citrique,E407 - Carraghénanes,E452 - Polyphosphates|
