categorie|marque|nom|nutritionGradeFr|ingredients|energie100g|graisse100g|sucres100g|fibres100g|proteines100g|sel100g|vitA100g|vitD100g|vitE100g|vitK100g|vitC100g|vitB1100g|vitB2100g|vitPP100g|vitB6100g|vitB9100g|vitB12100g|calcium100g|magnesium100g|iron100g|fer100g|betaCarotene100g|presenceHuilePalme|allergenes|additifs|
Fromages de France|Wälchli|Saint Nectaire 45 % Aoc Petit Rond|d|_Lait_ pasteurisé, sel, ferments _lactiques_ et d'affinage, présure, chlorure de calcium.|1477|29|0||23|1.4|||||||||||||||||0|Lait, lactiques||
Fromages de France|rochambeau|Comté|d|_Lait_ cru, sel, ferments lactiques, présure.|1700|34|0||26|0.8|||||||||||||||||0|en:milk||
Fromages de vache|Ambassador|Camembert au lait pasteurisé|d|Camembert au _lait_ pasteurisé|1100|21|0||19|1.3|||||||||||||||||0|lait||
Fromages de vache|Apérivrais|Aux Olives Poivron - Thym - Oignon - Origan|d|Ingrédients du fromage : _Lait_, crème de lait, sel, olives vertes et noires, ail, poivres, ferments lactiques, arômes. Ingrédients des épices et aromates :: poivron rouge, thym, oignon, basilic, origan, persil, olive verte, ail, huile de tournesol, arôme|1351|31|3||9|1.3|||||||||||||||||0|Lait|E392 - Extrait de romarin,E579 - Gluconate ferreux|
Fromages de vache|Apérivrais|Goût Saumon|d|_Lait_, _crème_ de _lait_, sel, paprika, arôme et arôme de fumée, _poissons_ déshydratés, tomate, oignon, aneth, poivron rouge, ferments lactiques. Herbes aromatiques, légumes, graines de pavot, _moutarde_, _crevette_, poivres, sel, saccharose, extrait de levure, huile de tournesol, huile de colza, arômes.|1314|30|3||9|1.5|||||||||||||||||0|Lait, crème, lait, lait, poissons, saumon, cabillaud, moutarde, crevette, oeuf, moutarde, crustacé||
Fromages de vache|Apérivrais|Peuchère l'olive|d|_Lait_, _crème_ de _lait_, sauce tomates confites, sel, ferments lactiques.|1368|31|3||9|1.3|||||||||||||||||0|Lait, crème, lait||
Fromages de vache|Auchan|Camembert Moulé à la louche au lait de Normandie|d|Lait thermisé - température inférieure à la pasteurisation, sel, ferments lactiques et d'affinąge, présure Elaboré à partir de lait origine France.|1154|22|0.5|0|20|1.7|||||||||||||||||0|en:milk||
Fromages de vache|Auchan|Meule Fruitée|d|_Lait_ pasteurisé de vache, sel, _ferments lactiques_, coagulant.|1774|35|0.5||27|1.3|||||||||||||||||0|Lait, ferments lactiques||
Fromages de vache|Auchan|Meule fruitée|d|_Lait_ pasteurisé de vache, sel, ferments lactiques, coagulant|1760|35|0||27|1|||||||||||||||||0|Lait||
Fromages de vache|Auchan|Râpé pour pizza|d|Mozzarella 49%: _lait_ pasteurisé de vache. sel. ferments lactiques. coagulant; fromage à pâte pressée non cuite 49%: _lait_ pasteurisé de vache. sel. ferments lactiques, coagulant; anti-agglomérant: amidon de pomme de terre 2%.|1347|24|1||25|0.9|||||||||||||||||0|lait, lait||
Fromages de vache|Bel,Fromageries Bel,Babybel|Mini Babybel x12|d|_lait_, sel, ferments _lactiques_, coagulant.|1226|23|0|0|21.5|1.8||||||||||||0.68|||||0|lait, lactiques||
Fromages de vache|Belle France|Camembert|d|_lait_ de vache, ferments lactiques et d'affinage, sel, présure.|1172|22|0.5||20|1.5|||||||||||||||||0|lait||
Fromages de vache|Belle France|Camembert Caractere|d|_lait_ de vache pasteurisé, sel, ferments.|1100|21|0||19|1.4||||||||||||0.425|||||0|lait||
Fromages de vache|Belle France|Fromage mi-chèvre|d|_lait_ de chèvre pasteurisé, _lait_ de vache pasteurisé, sel, ferments.|1268|25|0.5||19|1.5|||||||||||||||||0|lait, lait||
Fromages de vache|Bien vu|Raclette en tranches|d|_Lait_ de vache pasteurisé, sel, ferments, coagulant microbien, conservateur de surface : natamycine, colorants de la croûte : rocou - E150C.|1427|28|0.5|0|23|1.75|||||||||||||||||0|Lait|E150c - Caramel ammoniacal,E160b - Rocou,E235 - Natamycine|
Fromages de vache|Bio Village,Marque Repère|Brique au lait entier vache|d|_Lait_* de vache pasteurisé, sel, ferments. *Ingrédient issu de l'agriculture biologique.|1248|25|0.5|0.5|18|1.4|||||||||||||||||0|en:milk||
Fromages de vache|Bonneterre|Camembert Sélection|d|_Lait_ de vache biologique, sel, ferments, présure, chlorure de calcium.|1180|22|0.5||21|1.7|||||||||||||||||0|Lait, lait||
Fromages de vache|Bonneterre|Le Petit Tendre|d|_Lait_ pasteurisé 93 %, _crème_ pasteurisée 5 %, sel, ferments lactiques.|1375|29|0.5||18.7|1.1|||||||||||||||||0|Lait, crème, lait||
Fromages de vache|Bourdin|Brousse au lait entier|c|_Lait_ de vache pasteurisé, lactosérum, sel, acidifiant : E260.|816|15|3|0.5|11|0.65|||||||||||||||||0|en:milk|E260 - Acide acétique|
Fromages de vache|Bresse Bleu,Savencia|Suprême|d|_Lait_ pasteurisé, _crème_, sel, ferments.|1480|31|0.2||19|1.2||||||||||||0.4|||||0|en:milk||
Fromages de vache|Caprice des Dieux|Caprice des Anges|d|_Lait_ de vache pasteurisé de France, _crème_, sel, ferments lactiques.|418|24|2.5||5|1.2|||||||||||||||||0|Lait, crème||
Fromages de vache|Carrefour|Bleu fondant|d|_Lait_ pasteurisé de vache, _crème_ pasteurisée, sel, enzyme coagulante, ferments _lactiques_.|1644|35|0||18|2.2|||||||||||||||||0|Lait, crème, lactiques||
Fromages de vache|Carrefour|Raclette Ail|d|Lait pasteurisé de vache, sel, ail en poudre 0.5%, coagulant microbien, ferments lactiques et d'affinage, conservateur: natamycine.|1370|26|0.5|0|23|1.7|||||||||||||||||0|Lait, lactiques|E235 - Natamycine|
Fromages de vache|Carrefour|Tranches gourmandes spécial Sandwich|d|_Lait_ pasteurisé de vache, sel, coagulant microbien, ferments _lactiques_ et d'affinage|1446|31|0||17|1.4|||||||||||||||||0|Lait, lactiques||
Fromages de vache|Casino|Fromage sans croûte pour repas raclette|d|_Lait_ de vache pasteurisé, sel, ferments lactiques, enzymes coagulantes, conservateur: natamycine.|1415|28|1||26|1.4|||||||||||||||||0|Lait, lait|E235 - Natamycine|
Fromages de vache|Chaumes|L'Original|d|_Lait_ de vache pasteurisé, sel, ferments, colorant de croûte : bêta-carotène d'origine naturelle.|1265|25|0.5||20|2|||||||||||||||||0|Lait|E160a - Bêta-carotène,E160ai - Bêta-carotène|
Fromages de vache|Chaussée aux Moines|Chaussée aux Moines|d|_Lait_, sel, ferments, conservateur : E235.|1265|25|0||20|1.6||||||||||||0.575|||||0|Lait|E235 - Natamycine|
Fromages de vache|Chêne d'Argent,Lidl|Camembert|d|_Lait_* de vache pasteurisé, sel, ferments. *issu de l'agriculture biologique.|1134|21|0.5||19|1.3|||||||||||||||||0|Lait, Lait||
Fromages de vache|Coeur de Lion,CF&R|Camembert|d|Camembert au _lait_ pasteurisé|1423|30|7||30|1|||||||||||||||||0|en:milk||
Fromages de vache|Cora|Bleu crémeux|e|_Lait_, sel, ferments _lactiques_ et d'affinage, présure, chlorure de calcium, Penicillium roqueforti.|1548|34.3|0|0|15.4|2.4|||||||||||||||||0|Lait, lactiques||
Fromages de vache|Cœur Basque|Tommette basque de vache|e|_lait_ de vache, sel, enzyme coagulante, ferments.|1741|33|0.5||24|2.5|||||||||||||||||0|lait||
Fromages de vache|Destrier|Bâton de fromage|d|_Lait_ de vache pasteurisé, crème de chèvre pasteurisé 6%, sel, ferments|1389|28|0.5|0|20|1.4|||||||||||||||||0|Lait||
Fromages de vache|Dia|Bleu fondant|e|_lait_ pasteurisé de vache, sel, ferments lactiques, enzyme coagulante, penicillium|1544|33|0.5||19|2.5|||||||||||||||||0|lait||
Fromages de vache|Dia|Fromage mi-Chèvre|d|_Lait_ de chèvre pasteurisé, lait de vache pasteurisé, sel, ferments lactiques, flore d'affinage, présure.|1285|26|1|0|18|1.143|||||||||||||||||0|Lait||
Fromages de vache|Distral|Sechons de vache|b|lait cru|1648|36|0||16.5|0.65|||||||||||||||||0|||
Fromages de vache|E. Graindorge,Eugène Graindorge|Petit Camembert au lait cru|d|_Lait_ de vache cru, sel, ferments, présure.|1209|23|0.5||21|1.6|||||||||||||||||0|Lait, lait||
Fromages de vache|Eco+|Saint-Paulin|d|_Lait_ de vache pasteurisé, sel, ferments, coagulant, plastifiant alimentaire de croûte. Croûte non consommable.|1251|23|1|0|22|1.7|||||||||||||||||0|Lait, lait|E160b - Rocou,E235 - Natamycine|
Fromages de vache|Elle & Vire,Savencia|Carré frais|d|_Lait_ écrémé biologique, _crème_ biologique, sel, ferments lactiques|866|17|2.5||11|1.32|||||||||||||||||0|en:milk||
Fromages de vache|Ensemble,Biocoop|Camembert|d|_lait_ de vache pasteurisé partiellement écrémé, présure animale, ferments _lactiques_, sel.|1179|22|0||20.5|1.5|||||||||||||||||0|lait, lactiques||
Fromages de vache|EntreMont|Raclette Saveur d'Antan|d|_lait_ de vache pasteurisé, sel, ferments lactiques, coagulant, conservateur de surface : E235.|1447|29|0.5||22|1.8|||||||||||||||||0|lait|E235 - Natamycine|
Fromages de vache|Fol Epi,Savencia|Extra Fines Classic|d|_lait_de vache pasteurisé, sel, ferments, colorants de croûte : annatto, caramel.|1498|29|0.5||25|1.4|||||||||||||||||0|en:milk|E150 - Caramel,E160b - Rocou|
Fromages de vache|Fromagerie Gaugry|Saint Vincent|d|_Lait_ pasteurisé, sel, ferments lactiques et d'affinage, présure, marc de Bourgogne.|1206|25|0||16|2.23|||||||||||||||||0|Lait||
Fromages de vache|Fromagerie Jacquin & Fils,P. Jacquin & Fils|Fromage Olivet au foin|d|_Lait_ de vache, ferments, sel, foin, coagulant.|1163|22|0.5||20|1.5|||||||||||||||||0|Lait||
Fromages de vache|Fromagerie Lebail|Petits Beaujolais des gourmets x6|d|LAIT, ferments lactiques, présure, sel.|2188|40|8||29|0.8|||||||||||||||||0|LAIT||
Fromages de vache|Fromagerie Saint-Denis|Fromage Fort|c|_Lait_ caillé pasteurisé, emmental au lait cru, bleu. Origine France.|858|16.5|1.4||11.95|1.1|||||||||||||||||0|Lait||
Fromages de vache|Fromagerie de l'Aire des Sully|Le Petit Millevaches|c|_Lait_, ferments lactiques et d'affinage, affermissant : E509. conservateur : E1105.|1552|30|0.59||22|0.15|||||||||||||||||0|Lait, œuf, ferments lactiques|E1105 - Lysozyme,E509 - Chlorure de calcium|
Fromages de vache|Fromagerie de la Côte d'Opale|Le Petit Touquet|d|_Lait_ de vache pasteurisé, ferments, présure, sel, chapelure, bière, conservateur : lysozyme, colorant naturel de surface : rocou.|1616|32|0.6||21.3|1.63|||||||||||||||||0|Lait, gluten, lait, gluten, oeufs|E1105 - Lysozyme,E160b - Rocou|
Fromages de vache|Fromagerie guilloteau|Pavé du Vivarois|d|_lait_ de vache pasteurisé, ferments _lactiques_ et d'affinage, sel, coagulant.|1075|20|1|0|16|1.5|||||||||||||||||0|lait, lactiques||
Fromages de vache|Fromageries Lescure|Fromage bio Mottin Charentais|d|_Lait_ et _crème_ de vache pasteurisés biologiques, sel, ferments|1598|35|0.5||15.8|1.1|||||||||||||||||0|en:milk||
Fromages de vache|Gillot|Camembert à cuire au four|d|Camembert au _lait_ pasteurisé 45 % MG sur extrait sec ou 24 % MG sur poids total, chapelure.|1313|24|0.5||21|1.8|||||||||||||||||0|lait||
Fromages de vache|Granarolo France|Bouchons du lyonnais pour apéritif au lait thermisé|d|LAITentier thermisé, sel, ferments, présure.|2084|40|2.1||30|1.5|||||||||||||||||0|LAIT, LAIT||
Fromages de vache|Grandjean|Roche Vache sec|d|LAIT cru de vache, sel, présure, ferments lactiques.|2024|39|1||28|1.5|||||||||||||||||0|LAIT||
Fromages de vache|Isigny Ste Mère|Petit camembert aux truffes|d|_Lait_ de vache microfiltré, sel, ferments, présures, truffes 3.8 %, _crème_ d'Isigny AOP.|1107|21|1||20|1.7|||||||||||||||||0|Lait, crème||
Fromages de vache|Jacquin,Fromagerie Jacquin & Fils,P. Jacquin & Fils|Olivet cendré|d|_Lait_ de vache pasteurisé, sel, présure, ferments, chlorure de calcium, charbon végétal.|1163|22|0.5||20|1.5|||||||||||||||||0|Lait|E153 - Charbon végétal médicinal|
Fromages de vache|Jean Perrin|Val de Lou|d|LAIT de vache pasteurisé, sel, ferments lactiques, enzyme coagulante.|1402|33|2.3||8.6|1.2|||||||||||||||||0|LAIT||
Fromages de vache|Jean Perrin|Val de Lou Noisettes grillées|d|LAIT pasteurisé de vache, NOISETTES hachée grillée 9 %, sel, ferments lactiques, enzyme coagulante.|1402|33|2.3||8.6|1.2|||||||||||||||||0|LAIT, NOISETTES||
Fromages de vache|Jean Perrin|Le Sapin|d|LAIT pasteurisé de vache, sel, ferments lactiques, enzyme coagulante|1308|26|0.5||17|1.4|||||||||||||||||0|LAIT||
Fromages de vache|Jean Perrin|L'Edel de Cléron aux truffes|d|LAIT pasteurisé de vache, truffes noires 4 %, sel, ferments lactiques, enzyme coagulante.|1440|31|0.5||17|1.8|||||||||||||||||0|LAIT||
Fromages de vache|Jeune Montagne|Tome fraîche de l'Aubrac|c|LAIT cru et entier, présure, ferments lactiques.|1410|27|0.5||22|0.08|||||||||||||||||0|LAIT||
Fromages de vache|La Ferme de Crequy|Rollot fermier|e|_Lait_ entier thermisé de vache, ferments, présure, sel.|1435|26|0.01||28.2|2.5|||||||||||||||||0|Lait||
Fromages de vache|La Ferme du Pont des Loups|T'chiot Biloute affiné à la bière|d|_Lait_ cru, ferments lactiques, sel, présure, chapelure, bière, roucou.|1335|29|0.4||21|2.01|||||||||||||||||0|en:gluten,en:milk|E160b - Rocou|
Fromages de vache|La colombière|Tommette des Alpes|d|_LAIT_ de vache entier et pasteurisé, sel, présure, ferments, chlorure de calcium.|1498|30|0.1||22|1.4|||||||||||||||||0|LAIT, lait, LAIT||
Fromages de vache|La maison du gruyère|Le Vosgien|d|_Lait_ de vache pasteurisé, _crème_, ferments, sel, présure|1478|31.5|0.3||16.8|1.3|||||||||||||||||0|Lait, crème||
Fromages de vache|Laqueuille,Société Laitière de Laqueuille|Bleu D'auvergne Bio|e|_Lait_ issu de l'agriculture biologique française, sel, ferments.|1477|29|0.5||19|2.90000000000001|||||||||||||||||0|Lait||
Fromages de vache|Le Coq de Bruyère|Fromage au lait pasteurisé|d|_Lait_ de vache pasteurisé, _crème_, ferments, sel, présure.|1358|28.1|0.3||16.8|1.2|||||||||||||||||0|Lait, crème||
Fromages de vache|Le Curé Nantais|Fromage du Curé|d|LAIT de vache entier cru, sel, ferments, présure.|1305|25|0.5||22|1.73|||||||||||||||||0|LAIT||
Fromages de vache|Le Pavé de l'Helpe|Le Pavé de l'Helpe affiné à la bière de Jenlain|d|_Lait_ de vache pasteurisé, ferments lactiques, sel, présure, affiné à la bière de Jeanlain.|1420|26|0.5||22.6|2.2||||||||||||0.5|||||0|Lait||
Fromages de vache|Leader Price|Camembert|d|_Lait_ de vache pasteurisé, sel, ferments lactiques et d'affinage, coagulant enzymatique.|1100|21|0||19|1.3|||||||||||||||||0|Lait||
Fromages de vache|Leader Price|Fromage à raclette|d|lait pasteurisé, sel, coagulant, ferments, colorants: carmin de cochenille, rocou, conservateurs : natamycine, lysozyme d'oeuf|1410|27|0.5|0|23.3|1.8|||||||||||||||||0||E1105 - Lysozyme,E120 - Acide carminique,E160b - Rocou,E235 - Natamycine|
Fromages de vache|Leader Price|Le vieux colombier|d|_lait_ de vache pasteurisé, sel, ferments lactiques et d'affinage, présure animale|1134|21|0.1||20|1.6|||||||||||||||||0|lait, lait||
Fromages de vache|Leader Price|Dés Ail et Fines Herbes|d|Lait et crème pasteurisés, sel, épaississant : E 1442. ail 0.7%, fines herbes 0.2%, poivre, lactose, conservateur : E200. acidifiant : E330. ferments lactiques, extrait naturel de romarin.|1442|33|2.5|1|8.5|1.4224|||||||||||||||||0||E1442 - Phosphate de diamidon hydroxypropyle,E200 - Acide sorbique,E330 - Acide citrique|
Fromages de vache|Leader Price|Gruyère IGP France|d|Gruyère.|1614|32|0.5|0|25|1.00076|||||||||||||||||0|||
Fromages de vache|Leader Price|Petit Camembert|d|_Lait_ de vache pasteurisé, sel, ferments lactiques et d'affinage, coagulant microbien ou présure animale.|1184|23|0.2||18|1.1|||||||||||||||||0|||
Fromages de vache|Les Croisés,Marque Repère|Coeur de Crème double crème|d|_Lait_ et _crème_ pasteurisés, sel, présure, ferments lactiqueset ferments d'affinages.|1510|32.5|1|0.1|17|1.3|||||||||||||||||0|en:milk||
Fromages de vache|Les Croisés,Marque Repère|La Raclette|d|_Lait_ de vache pasteurisé; sel ; coagulant ; ferments; colorant de la croûte : rocou ; conservateur de la croûte : E235.|1381|26|0.5|0.5|23|1.7|||||||||||||||||0|Lait, lait|E160b - Rocou,E235 - Natamycine|
Fromages de vache|Les Croisés,Marque Repère|Raclette Fumée|d|_Lait_ pasteurisé de vache, sel, coagulant, ferments, colorant de la croûte : rocou, conservateur de la croûte : E235.|1255|26|0.5|0.5|23|1.7|||||||||||||||||0|Lait, lait|E160b - Rocou,E235 - Natamycine|
Fromages de vache|Les Croisés,Marque Repère|Saint Cremeux|d|_Lait_ de vache pasteurisé, _crème_ pasteurisée, sel, ferments _lactiques_ et d'affinage, coagulant.|1611|37|1|0|12|1.21|||||||||||||||||0|Lait, crème, lactiques||
Fromages de vache|Les délices d'Amélie|Tranchettes Cheddar|d|_Lait_ de vache pasteurisé, sel, ferments _lactiques_, enzymes coagulantes, colorant : E160b.|1715|34|0||24|1.3|||||||||||||||||0|Lait, lactiques|E160b - Rocou|
Fromages de vache|Les délices d'amelie,Centurion Fromagers|Les Délices d'Amélie Cossettes de mozzarella|d|Mozzarella[LAIT pasteurisé de vache, sel, ferments LACTIQUES, enzyme coagulante], fécule de pomme de terre.|1293|22|2.5||25|1.5|||||||||||||||||0|LAIT, LACTIQUES||
Fromages de vache|Les frères Bernard|Dome de boulogne|d|_Lait_ de vache cru, _crème_, sel, ferments lactiques, présure, fleurs de surface.|1331|28.74|1.4||20.66|0.96|||||||||||||||||0|Lait, crème, ferments lactiques||
Fromages de vache|Maîtres Laitiers en Normandie|Saint-Paulin|d|_Lait_ pasteurisé ; sel ; ferments lactiques ; conservateur de la croûte : E235 ; colorants de la croûte : E160b et E172.|1247|23|0||23.3|1.88|||||||||||||||||0|Lait|E160b - Rocou,E172 - Oxyde de fer,E235 - Natamycine|
Fromages de vache|Moulin d'Or|Gouda Mimolette râpé|d|GOUDA : _Lait_ de vache pasteurisé, sel, ferments lactiques, enzyme coagulante, colorant : E160a. MIMOLETTE : _Lait_ de vache pasteurisé, sel, ferments lactiques, enzyme coagulante, colorant : E160b, conservateur : E1105. Agent anti-mottant : fécule de pomme de terre.|1456|26.5|4||24|1.9|||||||||||||||||0|Lait, lait, lactose, Lait, lait, lactose, oeuf, GOUDA, MIMOLETTE|E1105 - Lysozyme,E160a - Bêta-carotène,E160b - Rocou|
Fromages de vache|Nature Bio|Camembert moulé à la louche|d|_Lait_ microfiltré - sel - ferments _lactiques_ et d'affinage - présure.|1180|22|0.5|0|21|1.7|||||||||||||||||0|Lait, lactiques||
Fromages de vache|Naturellement Bio,Société laitière de Laqueuille|Bleu d'Auvergne|e|_Lait_ issu de l'Agriculture Biologique Française, sel, ferments|1405|29|0.5||19|2.9|||||||||||||||||0|Lait||
Fromages de vache|Netto|Camembert|d|lait de vache pasteurisé, sel, ferments, présure|1063|20|0.5|0|18|1.4|||||||||||||||||0|||
Fromages de vache|Nos Régions ont du Talent, Leclerc|Camembert d'Isigny|d|_Lait_, sel, ferments _lactiques_ et d'affinage, présure.|1180|22|0.5|0|21|1.6|||||||||||||||||0|||
Fromages de vache|Pave d affinois,Pavé d'Affinois,Fromagerie Guilloteau|Pavé d'Affinois|d|Fromage au _lait_ de vache pasteurisé.|1075|21|1|0|16|1.5|||||||||||||||||0|lait||
Fromages de vache|Pavé d'Affinois,Fromagerie Guilloteau|Bleu Doux & Onctueux|d|_Lait_ de vache pasteurisé, _crème_, ferments _lactiques_ et d'affinage, coagulant.|1753|41|0.5||12|1.3||||||||||||0.33|||||0|Lait, crème, lactiques||
Fromages de vache|Paysange|L'ortolan bio|d|98 % _lait_ de vache biologique pasteurisé, sel, ferments lactiques.|1377|28|0.5||18.46|1.2|||||||||||||||||0|Lait||
Fromages de vache|Paysange|L'Ortolan Équilibre|c|Fromage à pâte molle au _lait_ de vache pasteurisé.|1167|20|0.2|0|21.9|0.92|||||||||||||||||0|lait||
Fromages de vache|Pouce,Auchan|Fromage pâte molle|d|_Lait_ pasteurisé de vache, sel, ferments lactiques et d'affinage, coagulant|1100|21|0.5||19|1.3|||||||||||||||||0|Lait||
Fromages de vache|Pouce,Auchan|Raclette|d|_Lait_ de vache pasteurisé, ferments lactiques, sel, coagulant, conservateurs, colorants de croûte, caramel ordinaire|1456|28|0||24|1.78|||||||||||||||||0|Lait|E150a - Caramel E150a,E235 - Natamycine|
Fromages de vache|Président|Camembert en portions|d|Lait, ferments lactiques et d'affinage, sel.|1100|20|0||19|1.3||||||||||||0.5|||||0|en:milk||
Fromages de vache|Pâturages|Fromage sans croûte|d|_Lait_ pasteurisé, sel, ferments lactiques, coagulant, chlorure de calcium, conservateur : E235.|1460|28|0||25.1|2.21|||||||||||||||||0|Lait|E235 - Natamycine|
Fromages de vache|Pâturages|Paturages Camemb D Champs|d|_Lait_ de vache pasteurisé, sel, présure, ferments lactiques et d'affinage.|1117|21|0.5||19|1.6||||||||||||0.45|||||0|Lait||
Fromages de vache|Pâturages,Sélection Les Mousquetaires|Petit Camembert|d|_Lait_ de vache pasteurisé, ferments lactiques et d'affinage, sel, présure.|1172|22|0.5|0|20|1.5|||||||||||||||||0|Lait||
Fromages de vache|Père Michel|Fromage à Pâte Molle|d|_lait_ pasteurisé, sel, présure animale, cultures, colorants.|1552|34|0.5||17|1.3|||||||||||||||||0|lait|E160 - Caroténoïdes|
Fromages de vache|Père Toinou|Camembert|d|_Lait_ de vache pasteurisé, crème, sel, ferments lactiques et d'affinage, enzyme coagulante.|1226|24|0.1||20|1.4||||||||||||0.4|||||0|Lait||
Fromages de vache|Richesmonts|La Raclette classique -25 % de sel|d|Lait pasteurisé de vache, sel, ferments, colorants de la croûte : E160b, E120. conservateur : E235.|1362|26|0.1||23|1.19888||||||||||||0.68|||||0||E120 - Acide carminique,E160b - Rocou,E235 - Natamycine|
Fromages de vache|Richesmonts|Fromage a tartiflette fumé|d|_Lait_, ferments, sel.|1414|30|0.03||17|1.5|||||||||||||||||0|Lait, lait||
Fromages de vache|Richesmonts|La Raclette sans croûte|d|_lait_ pasteurisé de vache, sel, ferments.|1362|26|0.1||23|1.7|||||||||||||||||0|lait||
Fromages de vache|Saint Albray|Saint Albray|d|_Lait_ pasteurisé, sel, ferments, colorants de croûte : bêta-carotène, E160e.|1510|33|0.5||17|1.3|||||||||||||||||0|Lait|E160a - Bêta-carotène,E160ai - Bêta-carotène,E160e - Apocaroténal 8'|
Fromages de vache|Savall|Le petit Orléanais|d|Lait de vache, sel, enzyme coagulant, ferments.|1095|20|0.5||20.4|1.8|||||||||||||||||0|||
Fromages de vache|Saveur d'Antan,SE Chavegrand|Camembert de Caractère|d|_Lait_ de vache thermisé, sel, ferments lactiques et d'affinage.|1248|25|0.1||19|1.5|||||||||||||||||0|Lait, lait||
Fromages de vache|Simplement Bon et Bio|Camembert|d|lait de vache pasteurisé*, sel, ferments lactiques et d'affinage.|1209|23|0.5||20|1.3|||||||||||||||||0|||
Fromages de vache|Société Laitière de Vichy|Gaperon ficelle du Tone|d|_LAIT_, _CRÈME_, ferments _LACTIQUES_ et d'affinage, ail, sel, poivre, calcium, présure.|1372|28|1||19|1|||||||||||||||||0|LAIT, CRÈME, LACTIQUES, LAIT, LACTIQUES||
Fromages de vache|St Moret,St Môret apéritif|Apéritif 24 Billes au coeur de Tomates|d|_Lait_,_crème_, fourrage tomate 12%, eau, concentré de purée de tomate, ail, huile d'olive, saccharose, amidon, origan, tomates séchées, sel, piment de cayenne, poivre noir, arôme naturel), sel, sorbate de potassium.|1239|27|3.4||8|1.4|||||||||||||||||0|Lait, crème|E202 - Sorbate de potassium|
Fromages de vache|St-Môret|Apéritif - 24 billes au cœur de figue.|d|_Lait_, _crème_, fourrage figue 10 %, saccharose, eau, amidon, jus de citron concentré, arôme naturel, jus concentré de carotte), sel, sorbate de potassium.|1297|28|6.2||8|1.2|||||||||||||||||0|Lait, crème|E202 - Sorbate de potassium|
Fromages de vache|U|Fromage au lait pasteurise AOP Bleu des Causses 30% de MG|e|LAIT de vache pasteurisé, sel, ferments, présure.|1450|30|0|0|20|3.4|||||||||||||||||0|en:milk||
Fromages de vache|U|Raclette au lait pasteurisé tranchée sans croûte 28% de MG|d|LAIT de vache pasteurisé, sel, ferments, coagulant, conservateur de surface : natamycine.|1427|28|0|1.2|23|1.75||||||||||||0.6|||||0|en:milk|E235 - Natamycine|
Fromages de vache|Val de Lou|Val de Lou Ciboulette|d|LAIT pasteurisé de vache, ciboulette 1 %, sel, ferments lactiques, enzyme coagulante.|1402|33|2.3||8.6|1.2|||||||||||||||||0|LAIT||
Fromages de vache|Vaubernier|Camembert Main'Or|d|_Lait_ pasteurisé.|1172|22|0.5|0|20|1.4|||||||||||||||||0|Lait||
Fromages de vache|Vieux Porche|Camembert|d|_Lait_ de vache pasteurisé, sel, ferments lactiques et d'affinage, présure.|1046|20|0.1||18|1.4|||||||||||||||||0|Lait, lait||
Fromages de vache|Winny|Double crème|d|_Lait_ de vache pasteurisé, sel, ferments lactiques et d'affinage, présure.|1390.5|30|0.1||16.5|1.3|||||||||||||||||0|Lait||
Fromages de vache|Winny|Raclette en tranchettes|d|_Lait_ pasteurisé de vache - sel - ferments - colorants: E160b, E120 - conservateur : E235|1370|26|0.5||23|1.9|||||||||||||||||0|Lait|E120 - Acide carminique,E160b - Rocou,E235 - Natamycine|
Fromages de vache|Étoile d'Or|Raclette sans croûte|d|_Lait_ de vache pasteurisé, sel, ferments, coagulant fongique|1381|26|0.5||23|1.7|||||||||||||||||0|Lait, lait||
Fromages de vache|Étoile d'Or|Raclette en tranchettes|d|lait pasteurisé de vache, sel,ferments. croûte: colorants rocou,caremins et natamycine; conservateurs:lysozyme d'oeuf, coagulants:microbien.|1381|26|0.5||23|1.7|||||||||||||||||0||E1105 - Lysozyme,E120 - Acide carminique,E160b - Rocou|
Fromages de vache|Étoile du Vercors|Saint-Marcellin|d|Lait thermisé|1138|23|0.6||16|1.6|||||||||||||||||0|||
Fruits|Bee Pink|6 Pommes Pink Lady|a|Pommes|218|0.5|12.3||0.5|0.01|||||||||||||||||0|||
Fruits|Bio je t'aime|Marrons cuits bio|a|Marrons bio, eau|741|1.3|8.3||2.6|0.1|||||||||||||||||0|||
Fruits|Carrefour|Pommes bio|a|Pommes variété : golden. Catégorie 2.|0|0.2|12||0.3|0|||||||||||||||||0|||
Fruits|Daco Bello|Fruits rouges Daco Bello|c|Ingrédients en proportions variables : cranberries, cerises dénoyautées.|1440|1.9|63.5|5.8|0.9|0.02|||0.0018||||||||||||||0|||
Fruits|Eifel,Les fruits rouges de l'Aisne|Framboises|a|Framboises.|276|0.8|5.52||1.5|0|||||||||||||||||0|||
Fruits|Grand Frais|Duo Pommes Ananas|a|Pomme, ananas, antioxydant : ascorbate de calcium.|204|0.296|9.62||0.466|0.1|||||||||||||||||0||E302 - Ascorbate de calcium|
Fruits|Grand Frais|Noix de Coco|c|Noix de coco.|1521|36.8|0.9||3.6|0.08|||||||||||||||||0|||
